hero,g,wr,pos
Nyx%20Assassin,1783,56.5,4
Rubick,1541,47.3,4
Earth%20Spirit,1496,49.0,4
Mirana,1452,53.5,4
Shadow%20Shaman,965,51.7,4
Earthshaker,862,50.8,4
Tiny,847,51.2,4
Tusk,699,48.5,4
Phoenix,649,49.1,4
Bounty%20Hunter,584,48.6,4
Windranger,553,53.2,4
Spirit%20Breaker,540,50.6,4
Lina,511,48.8,4
Clockwerk,491,50.0,4
Hoodwink,460,46.5,4
Skywrath%20Mage,456,43.2,4
Dark%20Willow,447,46.9,4
Pangolier,413,48.4,4
Keeper%20of%20the%20Light,372,47.9,4
Pudge,321,46.3,4
Techies,294,48.2,4
Lion,287,50.6,4
Grimstroke,227,55.6,4
Outworld%20Devourer,192,47.6,4
Shadow%20Demon,188,43.4,4
Snapfire,150,36.4,4
Luna,123,47.8,4
Puck,123,44.0,4
Crystal%20Maiden,118,54.3,4
Winter%20Wyvern,99,59.3,4
Leshrac,98,54.4,4
Void%20Spirit,97,54.2,4
Ogre%20Magi,88,55.8,4
Elder%20Titan,84,54.2,4
Undying,84,49.1,4
Riki,83,43.1,4
Treant%20Protector,76,59.1,4
Io,75,43.6,4
Bane,73,63.0,4
Disruptor,71,58.7,4
Vengeful%20Spirit,69,51.2,4
Pugna,66,62.2,4
Enigma,61,53.1,4
Enchantress,58,54.3,4
Batrider,54,32.4,4
Lich,48,37.9,4
Invoker,47,51.7,4
Monkey%20King,46,51.7,4
Witch%20Doctor,45,66.7,4
Oracle,43,48.1,4
Nature's%20Prophet,42,27.3,4
Ancient%20Apparition,41,48.0,4
Sand%20King,39,47.8,4
Jakiro,37,56.5,4
Ember%20Spirit,37,54.5,4
Silencer,37,45.5,4
Venomancer,36,56.5,4
Brewmaster,33,36.8,4
Dazzle,32,65.0,4
Zeus,29,61.1,4
Chen,28,42.9,4
Death Prophet,27,58.8,4
Gyrocopter,27,47.1,4
Magnus,27,47.1,4
Sniper,24,40.0,4
Chaos%20Knight,23,40.0,4
Mars,20,25.0,4
Queen%20of%20Pain,19,72.7,4
Visage,19,66.7,4
Axe,15,44.4,4
Dark%20Seer,14,22.2,4
Timbersaw,13,62.5,4
Omniknight,11,37.5,4
Weaver,11,33.3,4
Abaddon,11,28.6,4
Troll%20Warlord,10,83.3,4
Warlock,10,50.0,4
Doom,8,40.0,4
Kunkka,8,40.0,4
Lycan,8,40.0,4
Viper,8,40.0,4
Tidehunter,8,20.0,4
Tinker,7,20.0,4
