hero,g,wr,pos
Crystal%20Maiden,1228,49.5,5
Oracle,1031,51.6,5
Undying,943,51.0,5
Lich,916,50.1,5
Grimstroke,881,48.5,5
Keeper%20of%20the%20Light,860,48.0,5
Bane,756,50.0,5
Witch%20Doctor,750,48.1,5
Ogre%20Magi,722,51.7,5
Disruptor,622,48.0,5
Lion,562,52.5,5
Jakiro,513,48.6,5
Phoenix,438,48.7,5
Shadow%20Shaman,409,48.6,5
Ancient%20Apparition,393,49.2,5
Treant%20Protector,309,39.1,5
Winter%20Wyvern,297,53.4,5
Enchantress,286,50.9,5
Nyx%20Assassin,270,58.8,5
Elder%20Titan,249,55.9,5
Hoodwink,243,55.1,5
Io,242,52.4,5
Bounty%20Hunter,239,56.1,5
Shadow%20Demon,237,52.8,5
Snapfire,213,45.0,5
Clockwerk,209,44.2,5
Tusk,200,48.3,5
Nature's%20Prophet,168,50.6,5
Warlock,166,47.0,5
Vengeful%20Spirit,163,53.1,5
Spirit%20Breaker,160,49.0,5
Rubick,159,54.6,5
Pudge,151,49.4,5
Silencer,140,45.2,5
Dark%20Willow,133,48.1,5
Skywrath%20Mage,122,53.5,5
Enigma,118,50.0,5
Chen,118,49.4,5
Windranger,114,51.6,5
Abaddon,107,56.7,5
Puck,105,45.3,5
Outworld%20Devourer,101,36.4,5
Lina,98,43.5,5
Magnus,86,37.0,5
Dazzle,78,55.1,5
Venomancer,77,51.0,5
Techies,74,54.8,5
Brewmaster,72,51.2,5
Pugna,64,55.6,5
Death Prophet,61,48.7,5
Mirana,60,58.3,5
Omniknight,55,53.8,5
Earth%20Spirit,42,56.0,5
Pangolier,37,47.8,5
Leshrac,27,68.8,5
Timbersaw,26,62.5,5
Earthshaker,25,46.7,5
Tiny,25,40.0,5
Batrider,24,40.0,5
Invoker,23,42.9,5
Visage,23,40.0,5
Tidehunter,22,35.7,5
Chaos%20Knight,21,71.4,5
Mars,18,63.6,5
Queen%20of%20Pain,15,44.4,5
Luna,14,50.0,5
Viper,13,50.0,5
Weaver,11,66.7,5
Monkey%20King,11,42.9,5
Zeus,10,16.7,5
Slardar,10,0.0,5
Sniper,8,60.0,5
Shadow%20Fiend,8,0.0,5
