hero,g,wr,pos
Mars,1665,49.8,3
Beastmaster,1125,53.0,3
Timbersaw,940,48.9,3
Pangolier,861,50.7,3
Sand%20King,853,51.4,3
Legion%20Commander,810,52.3,3
Tidehunter,758,52.5,3
Slardar,693,46.2,3
Enigma,635,58.1,3
Dark%20Seer,598,46.6,3
Nature's%20Prophet,547,51.5,3
Batrider,532,50.5,3
Night%20Stalker,476,51.5,3
Axe,416,44.4,3
Viper,373,47.8,3
Void%20Spirit,354,48.4,3
Underlord,326,46.6,3
Chaos%20Knight,308,49.3,3
Bristleback,295,43.4,3
Centaur%20Warrunner,290,42.4,3
Puck,280,50.6,3
Brewmaster,265,50.3,3
Lycan,230,56.0,3
Venomancer,229,51.4,3
Windranger,220,47.9,3
Phoenix,218,52.2,3
Outworld%20Devourer,214,50.0,3
Bounty%20Hunter,208,58.1,3
Doom,176,46.3,3
Leshrac,173,50.5,3
Pugna,164,57.6,3
Snapfire,154,49.5,3
Vengeful%20Spirit,150,48.3,3
Nyx%20Assassin,142,51.7,3
Bloodseeker,139,54.5,3
Death Prophet,136,57.0,3
Mirana,135,47.5,3
Grimstroke,115,49.3,3
Magnus,113,43.7,3
Tusk,108,53.1,3
Hoodwink,107,47.1,3
Spirit%20Breaker,107,46.3,3
Weaver,100,45.6,3
Abaddon,88,60.0,3
Monkey%20King,88,44.4,3
Elder%20Titan,77,61.4,3
Tiny,74,51.1,3
Clockwerk,72,53.7,3
Pudge,71,35.7,3
Necrophos,69,40.0,3
Riki,66,47.5,3
Earth%20Spirit,62,48.6,3
Queen%20of%20Pain,59,34.3,3
Omniknight,58,48.8,3
Visage,53,50.0,3
Earthshaker,51,36.7,3
Ogre%20Magi,50,56.7,3
Wraith%20King,44,50.0,3
Troll%20Warlord,44,42.3,3
Dragon%20Knight,40,52.0,3
Rubick,38,34.8,3
Io,37,63.2,3
Winter%20Wyvern,37,59.1,3
Kunkka,36,52.2,3
Enchantress,35,28.6,3
Dazzle,32,55.0,3
Keeper%20of%20the%20Light,32,45.0,3
Silencer,30,44.4,3
Gyrocopter,27,35.3,3
Razor,26,64.3,3
Ursa,26,26.7,3
Luna,23,61.5,3
Ember%20Spirit,23,57.1,3
Alchemist,23,53.8,3
Techies,23,38.5,3
Dark%20Willow,20,83.3,3
Zeus,18,27.3,3
Sniper,14,11.1,3
Invoker,13,87.5,3
Ancient%20Apparition,13,50.0,3
Broodmother,13,42.9,3
Undying,12,75.0,3
Lifestealer,12,57.1,3
Anti-Mage,11,71.4,3
Juggernaut,11,42.9,3
Slark,11,42.9,3
Lina,11,0.0,3
Jakiro,10,66.7,3
Phantom%20Assassin,10,16.7,3
Storm%20Spirit,9,60.0,3
Shadow%20Shaman,9,40.0,3
Morphling,8,80.0,3
Clinkz,8,60.0,3
Drow%20Ranger,8,20.0,3
Chen,7,60.0,3
Faceless%20Void,7,20.0,3
